"Recommended for You","Препоръчано за Вас"
"Frequently Bought Together","Често купувани заедно"
"You May Also Like","Може да ви хареса и"
"Customers Also Bought","Клиентите купиха и"
"Enable AI Recommendations","Активиране на AI препоръки"
"Recommendation Algorithm","Алгоритъм за препоръки"
"Collaborative Filtering","Колаборативно филтриране"
"Product Similarity","Подобни продукти"
"Hybrid (All Combined)","Хибрид (Всички комбинирани)"
"Max Products to Show","Максимален брой продукти"
"Track Product Views","Проследяване на прегледи"
"Track Add to Cart","Проследяване добавяне в кошница"
"Track Purchases","Проследяване на покупки"
"Press to skip carousel","Натиснете за да пропуснете каруселa"
