"Recommended for You","Anbefalt for deg"
"Frequently Bought Together","Ofte kjopt sammen"
"You May Also Like","Du vil kanskje også like"
"Customers Also Bought","Kunder kjopte ogsa"
"Enable AI Recommendations","Aktiver AI-anbefalinger"
"Recommendation Algorithm","Anbefalingsalgoritme"
"Collaborative Filtering","Samarbeidsfiltrering"
"Product Similarity","Produktlikhet"
"Hybrid (All Combined)","Hybrid (Alle kombinert)"
"Max Products to Show","Maks produkter a vise"
"Track Product Views","Spor produktvisninger"
"Track Add to Cart","Spor legg i handlekurv"
"Track Purchases","Spor kjop"
"Press to skip carousel","Trykk for a hoppe over karusellen"
