"Recommended for You","Consigliato per Te"
"Frequently Bought Together","Acquistati Frequentemente Insieme"
"You May Also Like","Potrebbe piacerti anche"
"Customers Also Bought","I clienti hanno acquistato anche"
"Enable AI Recommendations","Abilita Raccomandazioni IA"
"Recommendation Algorithm","Algoritmo di Raccomandazione"
"Collaborative Filtering","Filtraggio Collaborativo"
"Product Similarity","Similarita Prodotti"
"Hybrid (All Combined)","Ibrido (Tutti Combinati)"
"Max Products to Show","Massimo Prodotti da Mostrare"
"Track Product Views","Traccia Visualizzazioni Prodotti"
"Track Add to Cart","Traccia Aggiungi al Carrello"
"Track Purchases","Traccia Acquisti"
"Press to skip carousel","Premi per saltare il carosello"
